"('dice', 0.9042417407035828, (680.899658203125, 60.448665618896484, 92.35623168945312, 137.27537536621094))","('face', 0.6983120441436768, (25.29802131652832, 373.99871826171875, 51.19108200073242, 172.8135986328125))","('face', 0.37029141187667847, (1216.1573486328125, 104.816650390625, 53.03515625, 79.06542205810547))"
"('dice', 0.9133127331733704, (680.715576171875, 60.71663284301758, 94.143310546875, 138.9613800048828))","('face', 0.7540485262870789, (25.252981185913086, 374.07666015625, 50.4713134765625, 179.3470916748047))","('ball', 0.36377573013305664, (1115.8692626953125, 11.090184211730957, 62.74583435058594, 15.881129264831543))","('key', 0.3086768686771393, (1044.11328125, 93.22574615478516, 127.59158325195312, 83.93012237548828))"
"('dice', 0.9270514845848083, (680.7567749023438, 60.99527359008789, 93.09195709228516, 139.98289489746094))","('face', 0.7710369229316711, (25.60715103149414, 373.4785461425781, 50.867164611816406, 177.25762939453125))","('key', 0.6998786330223083, (1042.9012451171875, 97.31705474853516, 135.38186645507812, 82.96749114990234))","('ball', 0.5074135661125183, (1103.837890625, 9.630829811096191, 56.190101623535156, 16.720661163330078))"
"('dice', 0.9291287660598755, (680.9064331054688, 60.45270919799805, 95.43927001953125, 136.70680236816406))","('face', 0.7654667496681213, (25.872520446777344, 372.2970886230469, 50.200958251953125, 180.136962890625))","('key', 0.6166958808898926, (1043.447509765625, 96.80518341064453, 135.56378173828125, 82.5079574584961))"
"('dice', 0.9369557499885559, (681.2452392578125, 60.01543045043945, 94.08587646484375, 138.41961669921875))","('face', 0.7270950078964233, (24.503049850463867, 372.7635498046875, 51.19108200073242, 173.8291473388672))","('key', 0.6771183609962463, (1044.0894775390625, 96.07591247558594, 136.41038513183594, 80.26774597167969))"
"('dice', 0.923836350440979, (681.25830078125, 59.66508102416992, 91.61514282226562, 139.6415557861328))","('face', 0.7949156165122986, (25.23496437072754, 372.9627990722656, 51.16609191894531, 180.48912048339844))","('key', 0.6719293594360352, (1044.1768798828125, 95.26229858398438, 134.64022827148438, 81.47208404541016))"
"('dice', 0.9321754574775696, (681.9320678710938, 59.420127868652344, 94.00550842285156, 141.21864318847656))","('face', 0.7511910200119019, (24.34089469909668, 371.306396484375, 50.89200973510742, 176.13601684570312))","('key', 0.6768856048583984, (1045.2171630859375, 95.56290435791016, 137.51382446289062, 81.9008560180664))"
"('dice', 0.9311805367469788, (681.7418823242188, 59.852088928222656, 92.42390441894531, 141.14968872070312))","('face', 0.720799446105957, (21.645370483398438, 353.1731262207031, 44.36713409423828, 202.92938232421875))","('key', 0.6844046115875244, (1044.3131103515625, 95.81692504882812, 135.99472045898438, 82.03092956542969))"
"('dice', 0.9204659461975098, (681.6295776367188, 61.13193130493164, 92.07481384277344, 136.8403778076172))","('key', 0.7330132722854614, (1044.3050537109375, 97.970947265625, 139.86703491210938, 83.00801849365234))","('face', 0.6916610598564148, (20.61347198486328, 352.2210998535156, 44.58429718017578, 193.92042541503906))"
"('dice', 0.9350670576095581, (681.9924926757812, 60.542274475097656, 90.15074920654297, 139.81211853027344))","('key', 0.788446307182312, (1044.70458984375, 97.78675079345703, 141.6194305419922, 82.14115142822266))","('face', 0.7238809466362, (21.244979858398438, 352.4886474609375, 45.0438117980957, 201.94094848632812))"
"('dice', 0.9471422433853149, (681.528564453125, 60.595767974853516, 91.57041931152344, 139.131103515625))","('key', 0.8627784848213196, (1045.0472412109375, 97.73455810546875, 140.31166076660156, 82.18126678466797))","('face', 0.7391924262046814, (21.168350219726562, 352.69000244140625, 44.9559211730957, 204.32135009765625))"
"('dice', 0.933139443397522, (680.715576171875, 61.38499450683594, 94.31585693359375, 138.2169952392578))","('key', 0.8183018565177917, (1045.2000732421875, 98.1614761352539, 139.100830078125, 81.17427062988281))","('face', 0.7144048810005188, (21.999813079833984, 352.7581481933594, 44.868202209472656, 208.04624938964844))"
"('dice', 0.9422478079795837, (680.4157104492188, 60.99527359008789, 93.31951141357422, 141.25311279296875))","('key', 0.8173304796218872, (1045.02197265625, 97.93817901611328, 138.08575439453125, 80.31675720214844))","('face', 0.759753406047821, (22.39558982849121, 353.13287353515625, 44.9559211730957, 202.63235473632812))","('face', 0.292250394821167, (1257.6561279296875, 149.83079528808594, 31.901535034179688, 105.25736999511719))"
